Pid,phenotype_name,description,synonyms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000070,Abnormality of levator anguli oris,An abnormality of a levator anguli oris.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000069,Abnormality of lateral rectus extra-ocular muscle,An abnormality of a lateral rectus extra-ocular muscle.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000068,Abnormality of lateral pterygoid muscle,An abnormality of a lateral pterygoid muscle.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000066,Abnormal lacrimal sac morphology,An abnormality of a lacrimal sac.,Abnormality of lacrimal sac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000064,Abnormality of intrinsic muscle of tongue,An abnormality of an intrinsic muscle of tongue.,Abnormality of intrinsic lingual muscle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000058,Abnormality of inferior rectus extraocular muscle,An abnormality of an inferior rectus extraocular muscle.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000057,Abnormality of inferior oblique extraocular muscle,An abnormality of an inferior oblique extraocular muscle.,Abnormality of the inferior oblique muscle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000054,Abnormal inferior alveolar artery morphology,An abnormality of an inferior alveolar artery.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000051,Abnormal hyoglossus muscle morphology,An abnormality of a hyoglossus muscle.,Abnormality of hyoglossus muscle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000045,Abnormality of genioglossus muscle,An abnormality of a genioglossus muscle.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000044,Abnormality of frontal process of maxilla,An abnormality of a frontal process of the maxilla bone.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000040,Abnormality of ethmoid sinus,An abnormality of an ethmoid sinus.,Abnormality of ethmoidal air cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000034,Abnormality nasal septum cartilage morphology,An abnormality of a cartilage of nasal septum.,Abnormality of cartilage of nasal septum;Abnormality of cartilage of septum of nose;Anomaly of cartilage of nasal septum;Deformity of cartilage of nasal septum;Malformation of cartilage of nasal septum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000033,Abnormal nasopharyngeal adenoid morphology,Any abnormality of nasopharyngeal adenoids.,Abnormality of adenoids;Abnormality of nasopharyngeal adenoids;Abnormality of nasopharyngeal tonsil;Abnormality of pharyngeal tonsil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000030,Abnormal morphology of bony orbit of skull,An abnormality of an orbit of skull.,Abnormality of bones of the orbit of the skull;Abnormality of bony orbit of skull;Abnormality of the bony eye socket;Abnormality of the orbital bones of skull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000029,Abnormality of depressor labii inferioris,An abnormality of a depressor labii inferioris.,Abnormality of depressor labii inferioris muscle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000028,Abnormality of depressor anguli oris muscle,An abnormality of a depressor anguli oris muscle.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000027,Abnormality of buccinator muscle,An abnormality of a buccinator muscle.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000022,Abnormality of cartilage of external ear,An abnormality of a cartilage of external ear.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000021,Abnormal buccal fat pad morphology,An abnormality of a buccal fat pad.,Abnormality of buccal fat pad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000020,Abnormality of zygomaticus minor muscle,An abnormality of a zygomaticus minor muscle.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000019,Abnormal buccal mucosa morphology,An abnormality of a buccal mucosa.,Abnormality of buccal mucosa;Abnormality of cheek mucosa;Abnormality of inside lining of cheek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000018,Abnormality of zygomaticus major muscle,An abnormality of a zygomaticus major muscle.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000017,Abnormality of temporalis muscle,An abnormality of a temporalis muscle.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000016,Abnormality of styloglossus muscle,An abnormality of the styloglossus muscle.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000015,Abnormality of risorius muscle,An abnormality of a risorius muscle.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000014,Abnormality of procerus muscle,An abnormality of a procerus.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000013,Abnormal platysma muscle morphology,An abnormality of the platysma muscle.,Abnormality of platysma;Abnormality of the platysma muscle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000012,Abnormality of palatopharyngeus muscle,An abnormality of a palatopharyngeus muscle.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000011,Abnormality of palatoglossus muscle,An abnormality of a palatoglossus muscle.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000010,Abnormality of orbicularis oris muscle,An abnormality of an orbicularis oris muscle.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000009,Abnormality of nasalis muscle,An abnormality of a nasalis muscle.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000008,Abnormality of mylohyoid muscle,An abnormality of a mylohyoid muscle.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000007,Abnormality of mentalis muscle,An abnormality of a mentalis muscle.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000006,Abnormality of medial pterygoid muscle,An abnormality of a medial pterygoid muscle.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000005,Abnormality of masseter muscle,An abnormality of a masseter muscle.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000004,Abnormality of frontalis muscle belly,An abnormality of a frontalis muscle belly.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000003,Abnormal mandibular ramus morphology,An abnormality of a mandibular ramus.,Abnormality of mandibular ramus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000002,Abnormal inner ear epithelium morphology,Any structural anomaly of an inner ear epithelium.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500091,Lymphangioma of the orbit,A hamartoma of lymph vessels that usually presents in childhood. It tends to increase in size with head-down posture and with the Valsalva manoeuvre. Superficial lesions are visible as transilluminable cystic spaces of the lid or conjunctiva that may also contain blood. Deep lesions may cause gradual proptosis or present acutely with orbital pain and reduced vision due to haemorrhage.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500088,Foveal depigmentation,Loss of pigment in the fovea centralis.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500087,Peripapillary atrophy,Thinning in the layers of the retina and retinal pigment epithelium around the optic nerve.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500086,Optic nerve gray crescent,Having a characteristic appearance of a slate gray area of pigmentation within the disc margins that commonly appears along the inferotemporal or temporal neuroretinal rim areas.,Optic nerve grey crescent;Temporal gray pigmentary crescent;Temporal grey pigmentary crescent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500081,Pseudophakia,The term pseudophakia refers to having an artificial lens implanted after the natural eye lens has been removed. During cataract surgery the natural cloudy lens is replaced by an pseudophakia intraocular lens (IOL).,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500079,Alternating hypophoria,"A type of vertical phoria in which, in dissociation, the occluded eye deviates downwards.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500078,Alternating hypotropia,"A type of vertical tropia in which, when one eye is fixing, the other eye is deviated downwards.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500077,Alternating hyperphoria,"A type of vertical phoria in which, in dissociation, the occluded eye deviates upwards.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500076,Alternating hypertropia,"A type of vertical tropia in which, when one eye is fixing, the other eye is deviated upwards.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500075,Dissociated horizontal deviation,"A change in horizontal ocular alignment, unrelated to accommodation, that is brought about solely by a change in the balance of visual input from the two eyes.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500074,Dissociated vertical deviation,An incomitant tendency for an occluded eye to elevate and extort which resolves on uncovering.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500073,Abnormal ocular alignment,Any deviation from the normal ocular alignment.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500072,Absolute eccentric fixation,Eccentric fixation in which the angle of eccentricity equals the objective angle of deviation.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500070,Conjunctival dermolipoma,"A conjuctival lesion composed of adipose tissue and dense connective tissue. Such choristomas of dermal elements are normally found at the outer canthus, and have a gelatinous appearance. Classically, there is an indistinct posterior border (with the lesion frequently extending into the orbit) and a well-demarcated anterior border several millimetres posterior to the limbus.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500069,Paralytic ectropion,A type of ectropion associated with orbicularis muscle weakness caused by cranial nerve VII palsy.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500066,Latent myopia,The difference between total and manifest myopia.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500065,Retinopathy of prematurity prethreshold,High risk patients who were in Zone 1 (no Plus or stage 3) or Zone 2 with Plus or stage 3 but not both.,ROP prethreshold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500064,Retinopathy of prematurity threshold,"A retinopathy with a 50% likelihood of progressing to retinal detachment. Threshold disease is considered to be present when stage 3 retinopathy of prematurity (ROP) is present in either zone I or zone II, with at least 5 continuous or 8 total clock hours of disease, and the presence of plus disease.",ROP threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500063,Retinopathy of prematurity pre-plus,As vascular abnormalities of the posterior pole that are insufficient for the diagnosis of plus disease but that demonstrate more arterial tortuosity and more venous dilatation than normal.,ROP pre-plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500062,Retinopathy of prematurity plus,"Venous dilatation and arteriolar tortuosity of the posterior retinal vessels and may later increase in severity to include iris vascular engorgement, poor pupillary dilatation (rigid pupil), and vitreous haze. This definition has been further refined in the later clinical trials in which the diagnosis of plus disease could be made if sufficient vascular dilatation and tortuosity are present in at least 2 quadrants of the eye.",ROP plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500061,Retinopathy of prematurity zone III,Retinopathy which is a residual crescent of retina anterior to zone II.,ROP zone III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500060,Retinopathy of prematurity zone II,Retinopathy which extends centrifugally from the edge of zone I to the nasal ora serrata.,ROP zone II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500059,Retinopathy of prematurity zone I,Retinopathy which extends from the center of the optic disc to twice the distance from the center of the optic disc to the center of the macula.,ROP zone 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500058,Retinopathy of prematurity stage 5b,A closed funnel detachment of the retina with generally traction in all four quadrants.,ROP stage 5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500057,Retinopathy of prematurity stage 5a,An open funnel detachment of the retina with generally traction in all four quadrants.,ROP stage 5a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500056,Retinopathy of prematurity stage 5,Funnel detachment from the retina with generally traction in all four quadrants.,ROP stage 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500055,Retinopathy of prematurity stage 4b,A detachment that involves the peripheral retina that involves the macula itself. The detachment usually starts in the temporal periphery although can also involve the nasal retina as well.,ROP 4b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500054,Retinopathy of prematurity stage 4a,A detachment that involves the peripheral retina that does not extend into the macula.,ROP stage 4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500053,Retinopathy of prematurity stage 4,"Scar tissue that forms a continuous sheet coming up from the edge of the vascularized retina. This scar tissue can grow toward the vitreous base/posterior lens capsule resulting in traction, distortion, and even detachment.",ROP stage 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500052,Retinopathy of prematurity stage 3,"The neovascularization accumulates at the edge of the vascularized retina and extends into the vitreous (also called extra retinal fibrosis proliferation). In cases of Zone 2 and Zone 3, this may be sausage shaped. In more posterior Zone 1 disease, the stage 3 can appear as a direct extension of the normal retinal vessels but extending tangentially over the avascular retina.",ROP stage 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500051,Retinopathy of prematurity stage 2,The accumulating neovascularization thickens and manifests as a linear bump. The neovascularization remains along the surface of the retina and does not extend off the retina into the cortical vitreous.,ROP stage 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500050,Retinopathy of prematurity stage 1,The retinal vessels stop and then a linear flat white line is present that usually runs the circumference of the vascular retina.,ROP stage 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500049,Retinopathy of prematurity,An avascular or abnormally vascularized retina that occurs in premature infants and can lead to blindness.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500048,Delayed canalization of nasolacrimal duct,A very common condition in which the extreme end of the nasolacrimal duct underneath the inferior turbinate fails to complete its canalization in the newborn period.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500047,Nasolacrimal sac lymphoma,A type of lymphoma that involves the nasolacrimal sac.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500046,Seborrhoeic blepharitis,Inflammation of the eyelid due to overactivity of the sebaceous gland.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500045,Collier's sign,A unilateral or bilateral eyelid retraction due to midbrain lesions.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500044,Upper eyelid retraction,An elevation of the eyelid above the normal level in the primary position.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500043,Eyelid retraction,"With the eyes in primary position, the sclera is visible above the superior corneal limbus.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500042,Latent hypermetropia,A term to describe when farsightedness is masked when the accommodative muscles are used to increase the focusing power of the eye.,Latent hyperopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500041,Myopic astigmatism,A condition where one or both of the two principal meridians focus in the front of the retina when the eye is at rest.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500040,Dermolipoma of the conjunctiva,A benign tumor composed of adipose tissue and dense connective tissue usually located near the temporal fornix.,Conjunctival lipodermoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500039,Conjunctival cicatrization,An abnormality of the conjuctiva and ocular surface caused by conjunctival inflammation and associated with scarring.,Cicatricial conjunctivitis;Cicatrizating conjunctivitis;Conjunctival cicatricial conjunctivitis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500037,Nasolacrimal sac epithelial papillary carcinoma,The malignant epithelial neoplasm with papillary growths in the nasolacrimal sac.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500036,Nasolacrimal sac papilloma,Benign tumor of the nasolacrimal sac.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500035,Nasolacrimal sac granuloma,"A mass of granulation tissue in response to chronic dacryocystitis as polypoid formations or they follow accidental injury, from probing and as a reaction to retained foreign bodies in the sac.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500034,Nasolacrimal sac obstruction,Blockage of the nasolacrimal sac.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500011,Moon facies,"A rounded, puffy face with fat deposits in the temporal fossa and cheeks, a double chin.",Moon face;Puffy face;Puffy facies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500008,Cornea verticillata,"Golden brown or gray deposits with a clockwise, whorl-like distribution in the inferior interpalpebal portion of the cornea.",Vortex keratopathy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0500007,Iris flocculi,Multiple cysts along the pupillary margin that appear as spherical or tear-drop-shaped pigmented lesions or wrinkled masses emerging from the pupillary border of the iris.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0430029,Hyperplasia of the premaxilla,An abnormality of the premaxilla (the embryonic structure that forms the anterior part of the maxilla) causing it to appear relatively large in size compared to the other parts of the maxilla or other facial structures.,Hyperplasia of the intermaxillary bone;Hyperplasia of the primary palate bone;Increased size of premaxilla;Increased size of the primary palate bone;Large premaxilla;Large primary palate bone;Premaxillary excess;Primary palate bone excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0430028,Hyperplasia of the maxilla,"Abnormally increased dimension of the maxilla, especially relative to the mandible, resulting in a malocclusion or malalignment between the upper and lower teeth or in anterior positioning of the nasal base, increased convexity of the face, increased nasolabial angle, or increased width (transverse dimension of the maxilla.",Big maxilla;Big upper jaw;Hyperplasia of upper jaw;Hypertrophy of maxilla;Hypertrophy of upper jaw;Increased projection of maxilla;Increased projection of upper jaw;Increased size of maxilla;Increased size of upper jaw;Large maxilla;Large upper jaw;Maxillary excess;Maxillary hyperplasia;Maxillary macrognathia;Maxillary prognathia;Maxillary prominence;Prognathia of the upper jaw;Prominent maxilla;Prominent upper jaw;Upper jaw bone excess;Upper jaw excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0430025,Bilateral facial palsy,Two-sided or bilateral weakness of the muscles of facial expression and eye closure.,Bilateral facial muscle paralysis;Bilateral facial muscle weakness;Bilateral facial paralysis;Paralysis of both sides of the face;Weakness of both sides of the face,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0430023,Abnormality of the maxillary sinus,"An abnormality of the maxillary sinus, one of the mucosa-lined, normally air-filled paranasal sinuses of the bones of the skull. The maxillary sinus is located within the skeleton of the midface, lateral to the nasal cavity.",Abnormality of the antrum of Highmore;Abnormality of the maxillary antrum;Abnormality of the upper jaw sinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0430022,Abnormality of the sphenoid sinus,"An abnormality of the sphenoid sinus, one of the mucosa-lined, normally air-filled paranasal sinuses of the bones of the skull. The sphenoid sinus is located within the sphenoid bone.",Abnormality of the sphenoidal sinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0430020,Abnormality of levator labii superioris alaeque nasi muscle,An abnormality of the levator labii superioris alaeque nasi muscle.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0430019,Abnormality of muscle of facial expression,"An abnormality of any of the muscles of facial expression, which are innervated by the seventh (VII) cranial nerve and control facial expression.",Abnormality of muscle of facial expression;Abnormality of musculature of facial expression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0430018,Abnormality of nasal musculature,An abnormality of the muscles of the structure of the nose.,Abnormality of muscle of nose;Abnormality of musculature of the nose;Abnormality of nasal musculature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0430017,Abnormality of uvular muscle,An abnormality of the uvular muscle,Abnormality of musculus uvulae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0430016,Abnormality of tensor veli palatini muscle,An abnormality of the tensor veli palatini muscle,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0430014,Abnormality of musculature of soft palate,An abnormality of one or more of the five muscles of the soft palate.,Abnormality of soft palate muscles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0430013,Absent palatine bone ossification,Lack of formation of the palatine bone.,Absence of palatine bone calcification;Absence of palatine bone formation;Absence of palatine bone mineralization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0430012,Incomplete ossification of palatine bone,Failure to complete ossification (maturation and calcification) of the palatine bone.,Incomplete calcification of palatine bone;Incomplete formation of palatine bone;Incomplete mineralization of palatine bone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0430011,Defect of palpebral conjunctiva,An abnormality of the palpebral conjunctiva.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0430010,Microblepharia,Abnormal shortness of the vertical dimensions of the eyelids.,Abnormally small eyelid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0430009,Hypoplasia of eyelid,Developmental hypoplasia of the eyelid.,Decreased size of eyelid;Hypoplasia of the eyelid;Hypoplastic eyelid;Short eyelid;Small eyelid;Underdevelopment of eyelid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0430008,Accessory eyelid,The presence of more than the normal number of eyelids.,Double eyelid;Extra eyelid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0430007,Symblepharon,A partial or complete adhesion of the palpebral conjunctiva of the eyelid to the bulbar conjunctiva of the eyeball.,Eyelid adhesion to globe of eye;Eyelid stuck to eyeball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0430006,Ectopic cilia of eyelid,An eyelash that emerges from the underside (conjunctiva) of the upper or lower eyelid.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0430005,Abnormal ethmoid bone morphology,An abnormality of the ethmoid bone,Abnormality of ethmoid bone;Anomaly of the ethmoid bone;Deformity of the ethmoid bone;Malformation of the ethmoid bone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0430004,Frontomalar faciosynostosis,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0430003,Abnormal palatine bone morphology,An abnormality of the palatine bone.,Abnormality of the palatine bone;Anomaly of the palatine bone;Deformity of the palatine bone;Malformation of the palatine bone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
